2022 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place NSW[Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:07 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0],,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,31,Allawah,37018,COLEMAN,David,1,Y,Y,LP,Liberal,632,-0.99
NSW,103,Banks,31,Allawah,36774,SOON,Zhi,7,N,N,ALP,Labor,641,0.99
NSW,103,Banks,67,Allawah South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,415,-3.15
NSW,103,Banks,67,Allawah South,36774,SOON,Zhi,7,N,N,ALP,Labor,416,3.15
NSW,103,Banks,97646,Bankstown BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,341,-1.77
NSW,103,Banks,97646,Bankstown BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,372,1.77
NSW,103,Banks,56500,Beverly Hills North (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,115,-3.85
NSW,103,Banks,56500,Beverly Hills North (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,143,3.85
NSW,103,Banks,79612,Beverly Hills South (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,212,-5.45
NSW,103,Banks,79612,Beverly Hills South (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,270,5.45
NSW,103,Banks,46,Blakehurst North,37018,COLEMAN,David,1,Y,Y,LP,Liberal,190,-3.39
NSW,103,Banks,46,Blakehurst North,36774,SOON,Zhi,7,N,N,ALP,Labor,177,3.39
NSW,103,Banks,56472,Carlton South (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,447,1.74
NSW,103,Banks,56472,Carlton South (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,513,-1.74
NSW,103,Banks,65,Carlton West,37018,COLEMAN,David,1,Y,Y,LP,Liberal,641,-3.07
NSW,103,Banks,65,Carlton West,36774,SOON,Zhi,7,N,N,ALP,Labor,579,3.07
NSW,103,Banks,108389,Central Sydney (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,5,-19.92
NSW,103,Banks,108389,Central Sydney (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,12,19.92
NSW,103,Banks,97644,Central Sydney BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,87,-7.69
NSW,103,Banks,97644,Central Sydney BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,121,7.69
NSW,103,Banks,42,Connells Point (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,1067,-4.5
NSW,103,Banks,42,Connells Point (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,605,4.5
NSW,103,Banks,2,East Hills,37018,COLEMAN,David,1,Y,Y,LP,Liberal,524,-2.24
NSW,103,Banks,2,East Hills,36774,SOON,Zhi,7,N,N,ALP,Labor,474,2.24
NSW,103,Banks,65425,EAV Banks PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,11,19.05
NSW,103,Banks,65425,EAV Banks PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,10,-19.05
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,191,53.8
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,164,46.2
